state,local,mean,,,,,,,,,,,,,,,,
Ekiti,Moba,96584.7533,,,,,,,,,,,,,,,,
Ekiti,Oye,99727.5589,,,,,,,,,,,,,,,,
Enugu,Aninri,107066.2583,,,,,,,,,,,,,,,,
Enugu,Awgu,150902.5749,,,,,,,,,,,,,,,,
Enugu,Enugu East,328431.374,,,,,,,,,,,,,,,,
Enugu,Enugu North,265167.8108,,,,,,,,,,,,,,,,
Enugu,Enugu South,203455.5005,,,,,,,,,,,,,,,,
Enugu,Ezeagu,179742.0722,,,,,,,,,,,,,,,,
Enugu,Igbo-Etiti,113133.8798,,,,,,,,,,,,,,,,
Enugu,Igbo-Eze-North,108773.394,,,,,,,,,,,,,,,,
Enugu,Igbo-Eze-South,97396.0604,,,,,,,,,,,,,,,,
Enugu,Isi-Uzo,111648.6699,,,,,,,,,,,,,,,,
Enugu,Nkanu East,130290.9692,,,,,,,,,,,,,,,,
Enugu,Nkanu West,96747.5779,,,,,,,,,,,,,,,,
Enugu,Nsukka,370878.1713,,,,,,,,,,,,,,,,
Enugu,Oji-River,89078.976,,,,,,,,,,,,,,,,
Enugu,Udenu,142060.8562,,,,,,,,,,,,,,,,
Enugu,Udi,267391.4286,,,,,,,,,,,,,,,,
Enugu,Uzo-Uwani,92694.5514,,,,,,,,,,,,,,,,
"Fct, Abuja",Abaji,137510.4396,,,,,,,,,,,,,,,,
"Fct, Abuja",Bwari,728784.3978,,,,,,,,,,,,,,,,
"Fct, Abuja",Gwagwalada,522133.3055,,,,,,,,,,,,,,,,
"Fct, Abuja",Kuje,292352.9377,,,,,,,,,,,,,,,,
"Fct, Abuja",Kwali,236750.4312,,,,,,,,,,,,,,,,
"Fct, Abuja",Municipal Area Council,1913131.592,,,,,,,,,,,,,,,,
Gombe,Akko,548030.2024,,,,,,,,,,,,,,,,
Gombe,Balanga,214769.5019,,,,,,,,,,,,,,,,
Gombe,Billiri,177841.587,,,,,,,,,,,,,,,,
Gombe,Dukku,256370.1804,,,,,,,,,,,,,,,,
Gombe,Funakaye,207208.1497,,,,,,,,,,,,,,,,
Gombe,Gombe,285470.5997,,,,,,,,,,,,,,,,
Gombe,Kaltungo,174806.4627,,,,,,,,,,,,,,,,
Gombe,Kwami,300006.3653,,,,,,,,,,,,,,,,
Gombe,Nafada,93525.7254,,,,,,,,,,,,,,,,
Gombe,Shomgom,134735.1645,,,,,,,,,,,,,,,,
Gombe,Yamaltu-Deba,468311.0687,,,,,,,,,,,,,,,,
Imo,Aboh-Mbaise,294875.8995,,,,,,,,,,,,,,,,
Imo,Ahiazu-Mbaise,246518.3252,,,,,,,,,,,,,,,,
Imo,Ehime -Mbano,237419.3011,,,,,,,,,,,,,,,,
Imo,Ezinihitte,227651.9544,,,,,,,,,,,,,,,,
Imo,Ideato North,401331.2199,,,,,,,,,,,,,,,,
Imo,Ideato South,134290.1285,,,,,,,,,,,,,,,,
Imo,Ihitte-Uboma,135298.9168,,,,,,,,,,,,,,,,
Imo,Ikeduru,367991.7583,,,,,,,,,,,,,,,,
Imo,Isiala Mbano,462750.3562,,,,,,,,,,,,,,,,
Imo,Isu,169808.3465,,,,,,,,,,,,,,,,
Imo,Mbatoli,370473.7565,,,,,,,,,,,,,,,,
Imo,Ngor-Okpala,280193.0456,,,,,,,,,,,,,,,,
Imo,Njaba,254749.9835,,,,,,,,,,,,,,,,
Imo,Nkwerre,115168.9138,,,,,,,,,,,,,,,,
Imo,Nwangele,233379.408,,,,,,,,,,,,,,,,
Imo,Obowo,218732.096,,,,,,,,,,,,,,,,
Imo,Oguta,140054.3646,,,,,,,,,,,,,,,,
Imo,Ohaji-Egbema,331298.7712,,,,,,,,,,,,,,,,
Imo,Okigwe,228653.5553,,,,,,,,,,,,,,,,
Imo,Onuimo,132330.6565,,,,,,,,,,,,,,,,
Imo,Orlu,397624.0214,,,,,,,,,,,,,,,,
